areaCode,areaName,areaType,date,newCasesByPublishDate
E08000013,St. Helens,utla,2022-01-24,177
E08000013,St. Helens,utla,2022-01-23,162
E08000013,St. Helens,utla,2022-01-22,187
E08000013,St. Helens,utla,2022-01-21,223
E08000013,St. Helens,utla,2022-01-20,235
E08000013,St. Helens,utla,2022-01-19,239
E08000013,St. Helens,utla,2022-01-18,192
E08000013,St. Helens,utla,2022-01-17,275
E08000013,St. Helens,utla,2022-01-16,160
E08000013,St. Helens,utla,2022-01-15,253
E08000013,St. Helens,utla,2022-01-14,234
E08000013,St. Helens,utla,2022-01-13,317
E08000013,St. Helens,utla,2022-01-12,419
E08000013,St. Helens,utla,2022-01-11,446
E08000013,St. Helens,utla,2022-01-10,552
E08000013,St. Helens,utla,2022-01-09,604
E08000013,St. Helens,utla,2022-01-08,443
E08000013,St. Helens,utla,2022-01-07,729
E08000013,St. Helens,utla,2022-01-06,639
E08000013,St. Helens,utla,2022-01-05,502
E08000013,St. Helens,utla,2022-01-04,655
E08000013,St. Helens,utla,2022-01-03,801
E08000013,St. Helens,utla,2022-01-02,686
E08000013,St. Helens,utla,2022-01-01,883
E08000013,St. Helens,utla,2021-12-31,577
E08000013,St. Helens,utla,2021-12-30,731
E08000013,St. Helens,utla,2021-12-29,668
E08000013,St. Helens,utla,2021-12-28,572
E08000013,St. Helens,utla,2021-12-27,397
E08000013,St. Helens,utla,2021-12-26,459
E08000013,St. Helens,utla,2021-12-25,266
E08000013,St. Helens,utla,2021-12-24,381
E08000013,St. Helens,utla,2021-12-23,450
E08000013,St. Helens,utla,2021-12-22,303
E08000013,St. Helens,utla,2021-12-21,150
E08000013,St. Helens,utla,2021-12-20,170
E08000013,St. Helens,utla,2021-12-19,133
E08000013,St. Helens,utla,2021-12-18,145
E08000013,St. Helens,utla,2021-12-17,151
E08000013,St. Helens,utla,2021-12-16,145
E08000013,St. Helens,utla,2021-12-15,184
E08000013,St. Helens,utla,2021-12-14,108
E08000013,St. Helens,utla,2021-12-13,67
E08000013,St. Helens,utla,2021-12-12,118
E08000013,St. Helens,utla,2021-12-11,99
E08000013,St. Helens,utla,2021-12-10,151
E08000013,St. Helens,utla,2021-12-09,84
E08000013,St. Helens,utla,2021-12-08,100
E08000013,St. Helens,utla,2021-12-07,77
E08000013,St. Helens,utla,2021-12-06,104
E08000013,St. Helens,utla,2021-12-05,92
E08000013,St. Helens,utla,2021-12-04,91
E08000013,St. Helens,utla,2021-12-03,113
E08000013,St. Helens,utla,2021-12-02,152
E08000013,St. Helens,utla,2021-12-01,101
E08000013,St. Helens,utla,2021-11-30,83
E08000013,St. Helens,utla,2021-11-29,119
E08000013,St. Helens,utla,2021-11-28,125
E08000013,St. Helens,utla,2021-11-27,94
E08000013,St. Helens,utla,2021-11-26,64
E08000013,St. Helens,utla,2021-11-25,121
E08000013,St. Helens,utla,2021-11-24,111
E08000013,St. Helens,utla,2021-11-23,91
E08000013,St. Helens,utla,2021-11-22,136
E08000013,St. Helens,utla,2021-11-21,76
E08000013,St. Helens,utla,2021-11-20,109
E08000013,St. Helens,utla,2021-11-19,102
E08000013,St. Helens,utla,2021-11-18,144
E08000013,St. Helens,utla,2021-11-17,161
E08000013,St. Helens,utla,2021-11-16,78
E08000013,St. Helens,utla,2021-11-15,94
E08000013,St. Helens,utla,2021-11-14,98
E08000013,St. Helens,utla,2021-11-13,94
E08000013,St. Helens,utla,2021-11-12,81
E08000013,St. Helens,utla,2021-11-11,157
E08000013,St. Helens,utla,2021-11-10,95
E08000013,St. Helens,utla,2021-11-09,109
E08000013,St. Helens,utla,2021-11-08,78
E08000013,St. Helens,utla,2021-11-07,71
E08000013,St. Helens,utla,2021-11-06,109
E08000013,St. Helens,utla,2021-11-05,119
E08000013,St. Helens,utla,2021-11-04,120
E08000013,St. Helens,utla,2021-11-03,151
E08000013,St. Helens,utla,2021-11-02,118
E08000013,St. Helens,utla,2021-11-01,121
E08000013,St. Helens,utla,2021-10-31,156
E08000013,St. Helens,utla,2021-10-30,172
E08000013,St. Helens,utla,2021-10-29,143
E08000013,St. Helens,utla,2021-10-28,96
E08000013,St. Helens,utla,2021-10-27,116
E08000013,St. Helens,utla,2021-10-26,104
E08000013,St. Helens,utla,2021-10-25,110
E08000013,St. Helens,utla,2021-10-24,142
E08000013,St. Helens,utla,2021-10-23,113
E08000013,St. Helens,utla,2021-10-22,192
